"Id","Title","Body","Tags"
"49","Upgrade iPhone 3GS from iOS 4.2.1 to 4.3.x","<p>Hi folks I have a iPhone 3GS at 4.2.1 and want to upgrade it to 4.3.x for testing. I have read some articles about it but it seems that those are too old and cannot work. </p>

<p>Does anyone have some experience in doing this or does apple provide tutorials for developers in this?</p>

<p>A lot of thanks.</p>
","iphone ios upgrade ios4.3 iphone-3gs"
"50","How to control error keys using ModelStateWrapper=","<p>I’m using the a service layer with a ModelStateWrapper as shown <a href=""http://www.asp.net/mvc/tutorials/validating-with-a-service-layer-cs"" rel=""nofollow"">here</a>.</p>

<p>What’s he proper way to control the error keys to use when validating in the service layer so they correspond to the input names in my views?</p>

<p>e.g. I have the following ViewModel for a customer:</p>

<pre><code>public class CustomerViewModel
{
    public string Name { get; set; }
    /*…*/
}
</code></pre>

<p>And the following ViewModel for some use case’s View (the user can create two customers on the fly in this use case by entering their names):</p>

<pre><code>public class SomeOtherUseCaseViewModel
{
    public CustomerViewModel BuyingCustomer { get; set; }
    public CustomerViewModel SellingCustomer { get; set; }
    /*… */
}
</code></pre>

<p>Which I use in the View like this:</p>

<pre><code>&lt;!-- … --&gt;
&lt;%: Html.EditorFor(model =&gt; model.BuyingCustomer.Name) %&gt;
&lt;%: Html.ValidationMessageFor(model =&gt; model.BuyingCustomer.Name) %&gt;
&lt;!-- … --&gt;
&lt;%: Html.EditorFor(model =&gt; model.SellingCustomer.Name) %&gt;
&lt;%: Html.ValidationMessageFor(model =&gt; model.SellingCustomer.Name) %&gt;
</code></pre>

<p>In my customer service I’ve the following validation method which gets called when creating the customer (note that this is a different Customer class, this is a domain class):</p>

<pre><code>public bool ValidateCustomer(Customer customer)
{
    /* Check if there is another customer with the same name */
    if (/*…*/)
    {
        _validationDictionary.addError(“Name”, “There is another customer with the same name”); //the _validationDictionary holds the ModelStateWrapper
        return false;
    }
}
</code></pre>

<p>Do you see my problem?</p>

<p>Depending on the View, the error should be added with the key <code>“BuyingCustomer.Name”</code> or <code>“SellingCustomer.Name”</code> (or eventually there will be two errors, one with each key) instead of just “Name”; otherwise the framework won’t properly highlight the fields and show the errors.</p>

<p><strong>What is the proper way to solve this situation neatly?</strong> I don't want to pass the ""error key prefix"" to the service layer, because that's a UI concern and not a service layer concern, (right?).</p>
","asp.net-mvc design modelstate service-layer"
"51","Avoid page break in theorem","<p>I have a theorem which is half of it on another page, as I do for you automatically (without <code>\newpage</code>) get full theorem on the next page?</p>

<pre><code>\documentclass[a4paper]{book}
\usepackage[utf8]{inputenc}
\usepackage{lipsum}
\usepackage{theorem}
\newtheorem{teo}{Teorema}[chapter]

\begin{document}
\lipsum[1-5]

\begin{teo}
\lipsum[1]
\end{teo}

\end{document}
</code></pre>

<p><img src=""http://i.stack.imgur.com/Hy6nz.png"" alt=""here""></p>

<p>I have the left and I need right automatically (without <code>\newpage</code>).</p>
","page-breaking theorems"
"52","Why unit tests should not use database?","<p>Reading an article <a href=""http://www.javaranch.com/unit-testing.jsp"" rel=""nofollow"">Evil Unit testing</a>, I am not exactly sure WHY the unit tests should never use DB, network or file systems. What if it an network app?</p>
","unit-testing testing theory"
"53","How to show that $\lim_{n\to \infty} f_n(x) = 0$.","<p>I hate to admit it, but I don't know how to begin solving this problem: </p>

<p>Let $f\in L^1(\mathbb R)$. Let $\displaystyle f_n(x) = \frac{f(nx)}{n},~n\geqslant 1$. Then $\displaystyle \lim_{n\to \infty} f_n(x) = 0$ for almost every $x\in \mathbb{R}$. </p>

<p>Please this is not a home problem, so hints and full solutions will be very much appreciated.</p>
","real-analysis analysis measure-theory"
"54","How to tell emacs to open .h file in C++ mode?","<p>What lines should I add to my _emacs (on Windows) file to have it open .h files in C++ mode?  The default is C mode.</p>

<p>Thanks,</p>

<p>kris</p>
","emacs"
"55","How can I modify keyboard shortcuts for Firefox?","<p>I recently started using Firefox as my primary web browser, and I would like to change some of the default keyboard shortcuts, especially the ones used to switch between tabs. Can this be done?</p>

<p>I took a peek through the Firefox directory in ""Application Support"", as well as the application bundle itself, but nothing jumped out. Google searches have also proved fruitless.</p>

<p>Any help is appreciated!</p>

<p><em><strong>Update:</em></strong> I'm running Firefox version 3.6 for Mac OS 10.6.2</p>
","mac firefox keyboard-shortcuts customization"
"56","Create 8.3 name for an existing directory","<p>I have a machine that initially had <a href=""http://support.microsoft.com/kb/121007/"">8.3 filename creation disabled</a>.  However, this was causing issues with some legacy software, so it was re-enabled.  I'm wondering if it's possible to go back and ""add"" 8.3 filenames to certain existing directories.  </p>

<p>For example, say I have a directory named ""C:\name with spaces"" and I get the following output when I run ""dir /x"":</p>

<pre><code>C:\&gt;dir /x
 Volume in drive C has no label.
 Volume Serial Number is 6873-65B8

 Directory of C:\

04/09/2010  01:57 PM    &lt;DIR&gt;                       name with spaces
...
</code></pre>

<p>I'd like to somehow add an 8.3 name for the directory without recreating it, and then get the following:</p>

<pre><code>C:\&gt;dir /x
 Volume in drive C has no label.
 Volume Serial Number is 6873-65B8

 Directory of C:\

04/09/2010  01:57 PM    &lt;DIR&gt;          NAMEWI~1     name with spaces
...
</code></pre>

<p>I tried the 'rename' command but it didn't do the trick.</p>
","ntfs filenames"
"57","<textarea/> tag ""swallows"" html","<p>This is a very strange problem I've been struggling with for a few days. At first I thought it was related to something in our application, but I've stripped it down to the simplest html page and it's still happening. Basically anytime I add a  tag to a page the html after it gets rendered as it's value.  fixes the issue, but I don't understand why. I'm at a loss here, it has to be something really simple that I just don't know.</p>

<p>In the following example the paragraph tags show up as the value of the textarea. </p>

<p>I'm using IE8.</p>

<pre><code>&lt;html&gt;
&lt;head&gt;
    &lt;title&gt;About&lt;/title&gt;
&lt;/head&gt;
&lt;body&gt;

    &lt;textarea/&gt;
        &lt;p align=""center""&gt;
            test
        &lt;/p&gt;
        &lt;p align=""left""&gt;
           test
        &lt;/p&gt;


&lt;/body&gt;
</code></pre>

<p></p>
","html"
"58","SSRS limit length of text but keep full words","<p>In my table I have essentially 2 columns (many more but there is an obvious left side and right side). One of the fields, FIELD1, on the left side comes from a LookupSet() and each ID can have two items from FIELD1. Using a join(lookupset(), vbcrlf) I am able to get both values for the ID and put it into one cell in the table. This works but with the vbcrlf, the row height is increased. This causes a problem because there is data on the right side which cannot have additional space between it.</p>

<p>I did a split(join(lookupset())).getValue(0) for the first row and then the row below it for value 1. With some iif statements to check errors etc, this works.</p>

<p>One problem I solved is that the values for FIELD1 can be longer than the width of the cell, but will not take up more than two. I was able to do some substring magic in oracle like:</p>

<pre><code>SELECT ID, SUBSTR(FIELD1, 1, 70) FROM....
UNION
SELECT ID, SUBSTR(FIELD1, 70) FROM ...
</code></pre>

<p>using sorting, I am able to get up to 4 rows of data per ID which I will be able to split the lookupset and get each value into the table.</p>

<p>My last problem, and hopefully someone can help with is that when I ge the substring, It can cut off words and the next row will start with the rest of the word.
Is there a way, possibly using a regex to make sure to keep words in tact, but also to ensure that the total length returned is &lt; some number of characters? I am happy to abandon any part of the approach i am currently taking if I am off track.</p>
","oracle reporting-services plsql"
"59","Play RTSP through VLC in VS2010 on 64bit machine","<p>I am trying to play an RTSP stream on a Win form application on a 64 bit windows machine. I have added the VLC player as a COM component. But when i even try to play a stored video file it does not play. </p>

<pre><code>axVLCPlugin1.addTarget(""C:\\wildlife.wmv"",
                       null,
                       AXVLC.VLCPlaylistMode.VLCPlayListReplaceAndGo,
                       0);
axVLCPlugin1.play();
</code></pre>

<p>Am I missing anything?</p>
","c# visual-studio-2010 plugins rtsp vlc"
"60","How to get Annotation from TFS using PowerShell?","<p>This document describes how to get the Annotation of a file from TFS: <a href=""http://msdn.microsoft.com/en-us/library/bb385979.aspx"" rel=""nofollow"">http://msdn.microsoft.com/en-us/library/bb385979.aspx</a></p>

<p>I am interested in obtaining the Annotation of a file using PowerShell. Any ideas if this is possible and if so, how one would go about doing it?</p>
","powershell tfs annotations"
"61","How can I can read and modify data from XML file?","<p>Please give me the simplest way to read or modify the XML file data?</p>

<p>Currently I tried this but it throws an exception. My current code is:</p>

<pre><code> XmlDocument xml = new XmlDocument();
 xml.Load(""server.xml"");

 XmlNodeList serverlist = xml.SelectNodes(""//server"");
 foreach (XmlNode servernodes in serverlist)
 {
      string server_address = servernodes.SelectSingleNode(""addresh"").InnerText;
      string server_uname = servernodes.SelectSingleNode(""username"").InnerText;
      string server_psw = servernodes.SelectSingleNode(""password"").InnerText;
 }
</code></pre>

<p>my XML is below:</p>

<pre><code>&lt;?xml version=""1.0"" ?&gt;
&lt;server&gt;
&lt;addresh&gt;localhost&lt;/addresh&gt;
&lt;username&gt;myuser&lt;/username&gt;
&lt;password&gt;mypassword&lt;/password&gt;
&lt;/server&gt;   
</code></pre>

<p>and Exception is:</p>

<blockquote>
  <p>NullReference Exception: ""Object reference not set to an instance of an object."" </p>
</blockquote>

<p>What should i do?</p>
","c# .net xml exception-handling"
"62","align the tab control to the right","<p>is there any way that i can align the tab control to the right?
by default, the tabs are to the left. can i change it to the right or centre.??</p>
",".net winforms"
"63","How to get the twitter picture of a user?","<p>I am making a website in which people put in a twitter username. Now I want to load the twitterimage of the name that is put in. I have searched on the internet already but can't find a good easy way to implement this. Do i need to use some fancy twitter api or something? Any simple API's? (it is only for a simple site) or URL's with name as variable in it?</p>
","twitter twitter-api"
"64","Assistance with a backup solution.","<p>I am currently needing to create a backup of something on my server. I zip the entire folder and it's about 1.5gb big...it has to be backed up every hour....</p>

<p>Alright so the size of the backup is getting bigger and bigger every day. So I need a way to backup better.</p>

<p>I'd like some suggestions on how to do this.</p>

<p>But what I was thinking was that every 3 days the third day backups are deleted. But one is kept. </p>

<p>This would mean that my backup total is 73.5gb after 3 days of backups. Then I want to keep that third day backup for 1 week. So on the 10th day it is deleted. So about 85gb of total data is backed up.</p>

<p>Ever hour for 2 days and then 1 hour from every day after that 8 times.</p>

<p>I was thinking the easiest way to do it would be move that 1 hour backup from the third day to a new folder and have a separate script for it that is run daily. However I am not sure how I would go about picking out one of them out from the others and how to delete the ones older than 2 days. </p>

<p>I would likely run these scripts as cronjobs and set them to daily.</p>

<p>I use centOS 64bit 5.7, any tips would be great....incremental backups are NOT an option.</p>

<p>Also, is there an easy way to sync my home PC to a website to download the newest file on there at a particular time? I want this for the backups. I've seen some nice php webpages where it makes a simple filemanager to download files from...perhaps something like this?  </p>
","centos backup shell cron"
"65","Custom provider exception: No member with username 'xxxxxxx' exists","<p>I'm trying to create a new member on my website using the System.Web.Profile class. I keep getting the exception No member with username 'xxxxxxx' exists. How can I structure the code SO I don't receive this exception?</p>

<p>Thanks in advance.</p>

<pre><code>public static MemberProfile GetUserProfile()
        {
            return Create(Membership.GetUser().UserName) as MemberProfile;
        }


//snippet from the OnCreatingUser event
myproject.Members.MemberProfile mp = myproject.Members.MemberProfile.GetUserProfile(strUserName);
                        if (mp != null)
                        {
                            mp.AuthGuid = newUserGuid;
                            mp.secretQuestion = ((DropDownList)cuw.CreateUserStep.ContentTemplateContainer.FindControl(""Question"")).Text;
                            mp.secretAnswer = ((TextBox)cuw.CreateUserStep.ContentTemplateContainer.FindControl(""Answer"")).Text;
                            mp.isLocked = true;
                            mp.isApproved = false;
                            mp.Save();

                        Roles.AddUserToRole(strUserName, ""Retail"");
</code></pre>
","asp.net asp.net-profiles"
"66","What do the parentheses mean when you're declaring/calling a property?","<p><strong>Example 1</strong>:</p>

<pre><code>function a(){
  return ""ok"";
}

function b(){
  this.c = a;
}

var d = new b();
alert(d.c()); // Result ""ok"".
</code></pre>

<p><strong>Example 2</strong>:</p>

<pre><code>function b(){
    this.c = a();
}

var d = new b();
alert(d.c); // Result ""ok"".
</code></pre>

<p>What do the parentheses mean in this case?</p>
","javascript"
"67","Remove left padding for a WPF ListBoxItem with GroupStyle defined for its ListBox","<p>I have a WPF ListBox with several headings. I acheived this by having a GroupStyle in which I define how each header will look:</p>

<pre><code>&lt;ListBox DataContext=""{StaticResource MyGroups}"" ItemsSource=""{Binding}""&gt;
    &lt;ListBox.GroupStyle&gt;
        &lt;GroupStyle&gt;
            &lt;GroupStyle.HeaderTemplate&gt;
                &lt;DataTemplate&gt;
                    &lt;!-- my header stuff --&gt;
                &lt;/DataTemplate&gt;
            &lt;/GroupStyle.HeaderTemplate&gt;
        &lt;/GroupStyle&gt;
    &lt;/ListBox.GroupStyle&gt;

    &lt;!-- ListBox.ItemTemplate.. not shown --&gt;
&lt;/ListBox&gt;
</code></pre>

<p>Somehow, this causes the individual ListBoxItems to be slightly ""indented"" under their respective headers (Removing the GroupStyle removes the indentation, along with all the headers though).</p>

<p>I sort of see why they would want them indented by default, but is there anyway to remove that small left padding? I have tried to define a style for ListBoxItem to set the Padding = 0, but the outcome is the same.</p>
","c# .net wpf listbox"
"68","How to force the caller of the class to catch exception?","<p>Inside my class I have a private variable that my methods use which has an exception that has to be caught.</p>

<p>How can I force the callee to handle the exception and not have me do it in my code?</p>

<pre><code>public class SomeLibImpl extends SomeLib {

   private Mongo _mongo = new Mongo();

}
</code></pre>

<p>Where Mongo throws a <code>UnknownHostException</code> that I have to handle.</p>

<p>If this is something I shouldn't be doing and there is a better way please tell me, but I also want to know how to force the callee of the class to handle the exception.</p>

<p>I thought I would do this:</p>

<pre><code>public class SomeLibImpl extends SomeLib throws UnknownHostException {
  // ..
}
</code></pre>

<p>But that doesn't compile.</p>
","java exception-handling"
"69","Entity Framework model-first design not won't let you edit the table mappings?","<p>If we've been using an Entity Framework 4 model for some time, and we eventually want to switch the underlying database to a different vendor's product (say, from SQL Server to MySQL), is it simple to adjust the table and column mappings in the entity model without needing to update any of the entity class code?</p>

<p>We're trying to design code that is as database agnostic as possible, so I'd like to know in advance how much trouble we're in for if we ever switch our databases around.  Ideally, we'd like to not have to touch our applications that use our entity classes.  I can't seem to find any way in the entity designer or XML editor to adjust the underlying database column names without it giving me an error.</p>

<p>(I can, however, edit the entity's property names in the designer while leaving the database column names alone, but that's the opposite of what I need.)</p>

<p>Thanks!</p>
","entity-framework"
"70","How to change the order of options in ""run as"" menu in eclipse?","<p>I mainly develop for Android in Eclipse. I used to run my app in with shortcut ""CTRL+F11"" which was the same as clicking ""run as android application"" in menu.
Then i installed some eclipse plugins for webservices and now when i press ""CTRL+F11"", it calls ""run on server"" because this is the first option in ""run as"" menu. </p>

<p>How can i change this so the default option for run as would be ""run as android application""?</p>
","eclipse keyboard-shortcuts run"
"71","MVC 3 Wizard via JavaScript unsafe?","<p>I stepped over the following tutorial:
<a href=""http://afana.me/post/create-wizard-in-aspnet-mvc-3.aspx"" rel=""nofollow"">http://afana.me/post/create-wizard-in-aspnet-mvc-3.aspx</a></p>

<p>Since it looks pretty nice, I'm asking myself if making the complete wizard in JavaScript just like that is a good/safe idea?</p>
","javascript asp.net-mvc-3 security mvc"
"72","Silverlight Isolated Storage Best Practices?","<p>I'm just starting to really get into Silverlight development and I have a certain use case where I need to store a couple collections of objects or strings for a specific user's ""sessions"".
I want this to be user specific and accessible throughout the Silverlight application.</p>

<p>My first thought was to add static properties on the App.xaml.</p>

<p>On user login, I'm retrieving lists of objects that this user has access to from an API call, then storing those in the static properties of the App.xaml.</p>

<p>Then I can access those properties throughout the xaml pages.</p>

<p>My question is, is this truly user specific?
Is this best practice?
Should I use isolated storage in this case instead?
What are the limitations of isolated storage?
Isolated storage is, by nature, user specific, correct?</p>

<p>Thanks</p>
","c# silverlight session isolatedstorage"
"73","jQuery Mobile Clickhander won't work for an instance of a custom object","<p>I am setting a click handler for an anchor tag in jQuery mobile with via reference to the handler function inside the anchor tag (I need to do it this way for reasons that are cumbersome to get into). This approach works fine if I use a string or an integer as the function parameter but if I try to input an instance of an object (as illustrated below) it doesn't work. Any advice on what I may be doing wrong would be greatly appreciated.</p>

<p>
</p>

<pre><code>&lt;head&gt;
    &lt;meta name=""viewport"" content=""width=device-width, initial-scale=1""&gt;
    &lt;meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"" /&gt;
    &lt;script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js""&gt;&lt;/script&gt;
    &lt;link rel=""stylesheet"" href=""http://code.jquery.com/mobile/1.1.0-rc.1/jquery.mobile-1.1.0-rc.1.min.css""
    /&gt;
    &lt;script src=""http://code.jquery.com/jquery-1.7.1.min.js""&gt;&lt;/script&gt;
    &lt;script src=""http://code.jquery.com/mobile/1.1.0-rc.1/jquery.mobile-1.1.0-rc.1.min.js""&gt;&lt;/script&gt;
&lt;/head&gt;

&lt;body&gt;
    &lt;script&gt;
        $(document).ready(function () {

            function testObject() {
                this.param1;
            }

            function maketestObject(param1) {
                var result = new testObject();
                result.param1 = param1;
                return result;
            }

            var i = 0;
            var html;
            for (i = 0; i &lt;= 5; i = i + 1) {
                var testInstance = maketestObject(""test param"");
                html += '&lt;li&gt;&lt;a href=""#"" data-theme=""a"" onclick=""clickHandler(' + testInstance + '); return false;"" rel=""external"" data-role=""button""&gt;click test1&lt;/a&gt;&lt;/li&gt;';
            }

            $(""#testList"").append(html);
            $(""#testList"").listview(""refresh"");

        });

        function clickHandler(e) {
            alert(e);
        }
    &lt;/script&gt;
    &lt;div data-role=""page"" class=""type-interior""&gt;
        &lt;div id=""main"" data-role=""content""&gt;
            &lt;ul id=""testList"" data-role=""listview""&gt;&lt;/ul&gt;
        &lt;/div&gt;
    &lt;/div&gt;
&lt;/body&gt;
</code></pre>

<p></p>
","jquery-mobile event-handling click anchor"
"74","comparing temporal sequences","<p>I'm trying to wrap my head around this task and wondering if there is a standard way of doing this or some libraries that would be useful.</p>

<p>Certain events are tracked and timed at several data sources S1 ... SN. The recorded information is the event type and timestamp. There may be several events of the same type sequentially or they may be intermittent. There could be ""missing"" events - i.e. when one of the sources misses it, and, vice versa, when a source introduces a ""false positive"". There is typically a time difference between observations of the same event at different sources. This time difference has a constant component due to physical location of the sources but may also have a varying component introduced by network latency and other factors.</p>

<p>I need to find an algorithm that would find the optimal maximum time interval that should be used to group the observations at all sources in a single ""observed event"" and allow detection of the missing events and false positives.</p>

<p>I am wondering if the solution is really somewhere in the statistics field rather than algoritghms. Any input would be much appreciated.</p>
","temporal-database temporal temporal-difference"
"75","session object returning null","<p>i have created a login page for my project ""student information system"" which contain text fields username,userid and password.i tried to store the value of username and userid in session object and use it in another page but it is returning null value.</p>
","java jsp session-state"
"76","Reference a valid Facebook user profile","<p>The site is set to WordPress 3.4.1, annexed widget Facebook for WordPress</p>

<p>Later I changed the name to the Facebook user profile, and now get an error that I need to reference a valid Facebook user profile.</p>

<p>What changes do I have to make so that data-href will be the correct (new) Facebook user profile? Can you guide me? </p>
","facebook wordpress"
"77","Why can't I observe meta+i/meta+b in Safari?","<p>Please refer to this: <a href=""http://jsfiddle.net/r3ukS/1/"" rel=""nofollow"">jsfiddle</a></p>

<p>As far as I can tell, this only applies to Safari on a Mac, so if you're using something other than that feel free to try it, but you probably won't notice any issue.</p>

<p>In an application I'm creating I need to observe command/meta+b &amp; command/meta+i so I can make text either bold or italic. It works fine in chrome, but I can't observe those key combinations in Safari. </p>

<p>Is this a bug with safari? Am I overlooking something? Any help would be appreciated. Thanks!</p>

<p><strong>EDIT:</strong></p>

<p>If the JSfiddle link doesn't give you the results I'm describing, then copy and paste the code below into a fresh jsfiddle and try the same experiment. Doing it this way ensures for me that the observe will not work. Regardless of the way it's applied in my application it refuses to observe the keystrokes.</p>

<pre><code>document.observe('keydown', function(e) {     
     if(e.metaKey) alert('hi');
});​
</code></pre>
","javascript javascript-events prototypejs"
"78","Creating variables with index (using counters)","<p>Is there a way to add an index to a command? For example:</p>

<pre><code>\newcounter{count}
\loop&lt;condition&gt;
  \def\var\Roman{count}{some data}
\repeat
</code></pre>

<p>The <code>\var\Roman{count}</code> should become the variable <code>\varI</code>, <code>\varII</code>, <code>\varIII</code> and so on.</p>

<p>Background: I need to get some data from external files and store it into variables (which I will later use to create a document). Normally every <code>\varI</code> should be the same as every <code>\varII</code>, but I need to check whether it really is the case or not. If not I should return a warning or error.</p>

<hr>

<p>Solution for the first problem is in the comments, but I have a second problem.</p>

<p>Suppose I wrote this:</p>

<pre><code>\newcommand\addindex[3]{  % #1 as name of var, #2 as index and #3 as content
  \expandafter\def\csname #1\Roman{#2}\endcsname{#3}  % thanks to egreg
}

\newcounter{count}
\loop\unless\ifnum\value{count}=5
  \stepcounter{count}
  \addindex{var}{count}{\arabic{count}}
\repeat
</code></pre>

<p>All <code>\var&lt;index&gt;</code> have now as value 5, because they are defined as <code>\arabic{count}</code>, and not their value at the moment. Adding <code>\expandafter</code> before <code>\arabic{count}</code> does not seem to work for some reason...</p>
","counters loops"
"79","Mercurial hooks: how to find the current directory on commit","<p>I am trying to create a hook to Mercurial SCM (hg) using C# .NET, to launch a custom C# application on commit or pre-commit.</p>

<p>As a proof-of-concept prototype, I added a location of my custom .exe to the Mercurial.ini file's [hooks] section for pre-commit, and another .exe for commit.
Those .exe apps open on pre-commit and commit, as expected.</p>

<p>However, those executables are only stubs so far.
To make them do what I need, they have to ""know"" the current directory where the commit is about to occur (or has occurred).
Mercurial.ini is located in my user profile directory on Windows.
For example, when I do a commit from an Hg repository located in C:\MyProjects\TestProject, the executables need to know that the work is being done in C:\MyProjects\TestProject.</p>

<p>How can I find out programmatically at runtime from a ""hooked"" executable where the Mercurial command is being executed on the local machine?</p>
","version-control mercurial"
"80","What's a good two-way encryption library implemented in Python?","<p>The authentication system for an application we're using right now uses a two-way hash that's basically little more than a glorified caesar cypher.  Without going into too much detail about what's going on with it, I'd like to replace it with a more secure encryption algorithm (and it needs to be done server-side).  Unfortunately, it needs to be two-way and the algorithms in hashlib are all one-way.</p>

<p>What are some good encryption libraries that will include algorithms for this kind of thing?</p>
","python encryption"
"81","Is there a way to create a CMakelist.txt from a visual studio (c++) solution?","<p>I know that is possible to create a visual studio solution from a cmake project. But I wonder if there is a program that will do it the other way around (aka create a CMakelist.txt from a visual studio solution).</p>
","visual-studio cmake"
"82","Securing an Ubuntu Lucid web server","<p>I have an Ubuntu Lucid server that is public facing. I haven't really configured much on it except installing SSH (sshd) and Apache (httpd); I don't have a firewall or anything. Are there some common rules that I should follow to secure my system? I've been following <a href=""http://www.thegeekstuff.com/2011/03/apache-hardening/"" rel=""nofollow"">this article</a> on securing my Apache.</p>
","linux ubuntu security ubuntu-10.04 internet-security"
